CONELib Model Statistics
Name          Type     #Eqns   #Vars     #NZ    #NNZ     Bestknown Point
emfl_socp_200_25    LP           16876   16926   41472       0     46.8675 p1
emfl_socp_200_100   LP           90001   90201  236172       0      0.0000 p1
emfl_socp_500_100   LP          180001  180201  447957       0      0.0000 p1
emfl_socp_250_225   LP          320626  321076  877084       0      0.0000 p1
firl1linfeps        LP            9713   11534  412895       0      0.0000 p1
firl2l1alph         LP            7792    9613  409053       0      0.0000 p1
firl2linfeps        LP            9030   14712 1211486       0      0.0000 p1
fir_socp_10         LP             307      10    1711       0     -1.7382 p1
fir_socp_20         LP             307      15    3231       0      1.0001 p1
fir_socp_40         LP             307      25    6271       0      0.0000 p1
fir_socp_80         LP             307      45   12351       0      0.0000 p1
nb                  LP             917    2384  193901       0      0.0000 p1
nb_l1               LP            1709    3177  195487       0    -13.0123 p1
nb_l2               LP             963    4196  407317       0     -0.0507 p1
nb_l2_bessel        LP             963    2642  212295       0     -0.1026 p1
qp7                 LP              34      82    1585       0      0.0008 p1
qp7_50_100          LP              34      82    1585       0      0.0018 p1
qp7_100_100         LP              34      82    1585       0      0.0043 p1
qp7_100_170         LP              34      82    1585       0      0.0034 p1
sched_50_50_orig    LP            2530    4980   27967       0  26672.9916 p1
sched_50_50_scaled  LP            2528    4978   30462       0      7.8520 p1
sched_100_50_orig   LP            4847    9747   60037       0 181889.9181 p1
sched_100_50_scaled LP            4845    9745   65032       0     67.1651 p1
sched_100_100_orig  LP            8341   18241  113142       0      0.0000 p1
sched_100_100_scaledLP            8339   18239  123137       0     27.3308 p1
sched_200_100_orig  LP           18090   37890  278392       0      0.0000 p1
sched_200_100_scaledLP           18088   37888  298387       0     51.8120 p1
springs_10          LP              46      69     140       0   -185.4461 p1
springs_100         LP             406     609    1310       0 -41591.0422 p1
springs_1000        LP            4006    6009   13010       0-4.003261E+7 p1
springs_10000       LP           40006   60009  130010       0      0.0000 p1
