MINLPLib Model Statistics
Name              #Eqns   #Vars  #DVars     #NZ    #NNZ     BestInt Point
4stufen              99     150      48     319      87 116329.6706 p1
alan                  8       9       4      24       3      2.9250 p1
batch                74      47      24     191      22 285506.5082 p1
batchdes             20      20       9      53      10 167427.6571 p1
beuster             115     158      52     398     159 116347.9503 p1
blendgap            360     332      66    1454     440 -19134.6103 p1
cecil_13            899     841     180    2812     360-115656.4997 p2
chp_partload       2517    2249      45    6940    1916     23.5537 p1
contvar             285     297      88    1281     530 809149.8272 p1
csched1              23      77      63     174       8 -30639.2578 p1
csched1a             23      29      15      78       7 -30430.1770 p1
csched2             138     401     308     958      58-166101.9964 p1
csched2a            138     233     140     622      57-165398.7013 p2
deb10               130     183      22     692     432    209.4278 p1
deb6                508     476      20    2342    1432    201.7393 p1
deb7                898     814      20    4116    2816    116.5846 p1
deb8                898     824      20    4136    2816    116.5846 p1
deb9                918     814      20    4156    2816    116.5846 p1
dosemin2d           119     166      32    4379    4080    173.9806 p1
dosemin3d          1003    1047      18   24614   22095      1.3240 p2
du-opt5              10      21      13      47      20      8.0737 p1
du-opt               10      21      13      47      20      3.5563 p1
eg_all_s             26       8       7     206     182      7.6578 p3
eg_disc_s            26       8       4     206     182      5.7605 p1
eg_disc2_s           26       8       3     206     182      5.6421 p1
eg_int_s             26       8       3     206     182      6.4531 p1
elf                  39      55      24     178      30      0.1917 p1
eniplac             190     142      24     511      48-132117.0830 p2
enpro48             215     154      92     742      29 187277.2594 p1
enpro48pb           215     154      92     742      29 187277.2594 p1
enpro56             192     128      73     651      24 263428.3010 p1
enpro56pb           192     128      73     651      24 263428.3010 p1
ex1221                6       6       3      17       2      7.6672 p1
ex1222                4       4       1       9       2      1.0765 p1
ex1223               14      12       4      40      17      4.5796 p1
ex1223a              10       8       4      32       9      4.5796 p1
ex1223b              10       8       4      32      17      4.5796 p1
ex1224                8      12       8      31       6     -0.9435 p1
ex1225               11       9       6      27       2     31.0000 p1
ex1226                6       6       3      15       2    -17.0000 p1
ex1233               65      53      12     221      28 155010.6713 p1
ex1243               97      69      16     329      36  83402.5064 p1
ex1244              130      96      23     469      52  82042.9052 p1
ex1252               44      40      15     118      36 128893.7410 p1
ex1252a              35      25       9      94      36 128893.7410 p1
ex1263               56      93      72     241      32     19.6000 p1
ex1263a              36      25      24     153      32     19.6000 p1
ex1264               56      89      68     237      32      8.6000 p1
ex1264a              36      25      24     153      32      8.6000 p1
ex1265               75     131     100     347      50     10.3000 p1
ex1265a              45      36      35     222      50     10.3000 p1
ex1266               96     181     138     476      72     16.3000 p1
ex1266a              54      49      48     302      72     16.3000 p1
ex3                  32      33       8     100       5     68.0097 p1
ex3pb                32      33       8     100       5     68.0097 p1
ex4                  31      37      25     237     127     -8.0641 p1
fac1                 19      23       6      75      161.6091261E+8 p1
fac2                 34      67      12     217      543.3183750E+8 p1
fac3                 34      67      12     217      543.1982310E+7 p1
feedtray             92      98       7     451     282    -13.4060 p1
feedtray2           284      88      36    1627     942      0.0000 p1
fuel                 16      16       3      39       6   8566.1190 p1
fuzzy              1057     897     120    3506      79     -0.5377 p2
fo7_2               212     115      42     869      14     17.7493 p1
fo7                 212     115      42     869      14     20.7298 p1
fo8                 274     147      56    1137      16     22.3819 p1
fo9                 344     183      72    1441      18     23.4643 p1
fo7_ar25_1          270     113      42    1055      14     23.0936 p1
fo7_ar2_1           270     113      42    1055      14     24.8398 p1
fo7_ar3_1           270     113      42    1055      14     22.5175 p1
fo7_ar4_1           270     113      42    1055      14     20.7298 p1
fo7_ar5_1           270     113      42    1055      14     17.7493 p1
fo8_ar25_1          348     145      56    1381      16     28.0452 p1
fo8_ar2_1           348     145      56    1381      16     30.3406 p1
fo8_ar3_1           348     145      56    1381      16     23.9101 p1
fo8_ar4_1           348     145      56    1381      16     22.3819 p1
fo8_ar5_1           348     145      56    1381      16     22.3819 p1
fo9_ar25_1          436     181      72    1751      18     32.1864 p1
fo9_ar2_1           436     181      72    1751      18     32.6250 p1
fo9_ar3_1           436     181      72    1751      18     24.8155 p1
fo9_ar4_1           436     181      72    1751      18     23.4643 p1
fo9_ar5_1           436     181      72    1751      18     23.4643 p1
gasnet               70      91      10     267     1306999381.5619 p1
gastrans            150     107      21     419      45     89.0858 p1
gbd                   5       5       3      17       1      2.2000 p1
gear                  1       5       4       5       4      0.0000 p1
gear2                 5      29      24      33       4      0.0000 p1
gear3                 5       9       4      13       4      0.0000 p1
gear4                 2       7       4       9       4      1.6434 p1
ghg_1veh             38      30      12     131      91      7.7816 p1
ghg_2veh             63      58      18     215     154      7.7709 p1
ghg_3veh            120      97      36     431     307      7.7543 p1
hda                 719     723      13    2206     464  -5964.5341 p2
johnall             193     195     190     958     573   -224.7302 p1
gkocis                9      12       3      28       2     -1.9231 p1
lop97ic              92    1754    1662   13432    8822   4041.8315 p2
lop97icx             88     987     899    1891     704   4099.0600 p2
m3                   44      27       6     157       6     37.8000 p1
m6                  158      87      30     635      12     82.2569 p1
