$offlisting
*   Contains Z(i,i), te(i), pe, r(i)

table Z(i,i)

                 i1                        i2                        i3
 i1   -6.346819841191523e+003    7.858470873394067e+003   -2.208744271307512e+003
 i2    1.867900026937746e+003   -5.532924404090646e+003    2.881558854799645e+003
 i3   -8.043941519941128e+002    5.556756537373743e+003   -1.011819163901290e+004
 i4    9.940241182067581e+001    1.873700673925396e+002    2.805798163804169e+003
 i5   -5.138979136424862e+001    6.038630902120486e+002   -1.076271924106244e+003
 i6    8.886605621047135e+000    1.097844982797218e+002    2.549640661119646e+002
 i7    1.240574976908415e-001    1.088186839164389e+002   -4.708875973079973e+000
 i8    1.441025654400565e+000    5.214939876219581e+001    7.078818374792256e+001
 i9    8.525354983265232e-001    4.103474611299612e+001    4.132428426317727e+001
i10    8.749533098342233e-002    2.811496301943591e+001    3.629909877850013e+001
i11    1.288480571195280e-001    2.241945903078008e+001    2.788004283648506e+001
i12   -1.831886960140966e-001    1.721002237375159e+001    2.257747047419019e+001
i13   -3.886401244922677e-002    1.424666948312292e+001    1.852920227351854e+001
i14   -8.759745434525046e-002    1.152000534216843e+001    1.536783973687949e+001
i15    9.477454777021432e-002    9.806347154250373e+000    1.300425989373679e+001
i16    1.699154347789568e-001    8.172298370999139e+000    1.103003537827433e+001
i17    3.708437574247152e-001    7.071826453929595e+000    9.491990385509936e+000
i18    5.072108189491151e-001    5.986565495256171e+000    8.150977218101735e+000
i19    7.168691318949361e-001    5.204155440988234e+000    7.059061091306034e+000
i20    8.842919939751294e-001    4.409142791605804e+000    6.071653070860872e+000
i21    1.096364186333785e+000    3.790882339144087e+000    5.231797277188658e+000
i22    1.278297146756939e+000    3.145146582271264e+000    4.446268189956554e+000
i23    1.487988705769876e+000    2.599005032483713e+000    3.747692129944747e+000
i24    1.674053685987324e+000    2.013856456581014e+000    3.072760474148917e+000
i25    1.877378787467388e+000    1.474223042885345e+000    2.444027703651050e+000
i26    2.060366597554673e+000    8.824882497607769e-001    1.816860038946387e+000
i27    2.254260306433310e+000    2.901590337579043e-001    1.203196560687731e+000
i28    2.429413166666966e+000   -3.734420511710108e-001    5.708944574626818e-001
i29    2.613264973009866e+000   -1.090132047366700e+000   -8.266576941049963e-002
i30    2.780216367067814e+000   -1.912003438742129e+000   -7.806121840395258e-001
i31    2.962078746567166e+000   -2.874772069479854e+000   -1.555321288298347e+000
i32    3.134945909922378e+000   -4.019353859187249e+000   -2.424366421536925e+000
i33    3.359528165058428e+000   -5.536289115190259e+000   -3.513693600582288e+000
i34    3.627642255742932e+000   -7.527484381494828e+000   -4.884784463505454e+000
i35    4.156691053875995e+000   -1.090874380038034e+001   -7.089466406380443e+000
i36    5.621243822286856e+000   -1.867727194117982e+001   -1.217623416758980e+001
i37    1.063375537175789e+001   -4.201047201911523e+001   -2.674510641954030e+001

 +               i4                        i5                        i6
 i1    6.970141485421822e+002   -1.377148804729048e+002    6.188269521518475e+000
 i2    1.837340215100352e+002    2.632021553401681e+002    1.117877683221559e+002
 i3    5.525540075603166e+003   -1.081156895651396e+003    6.002764461941223e+002
 i4   -6.607429859786686e+003    2.759438762968702e+003    1.081922371516287e+002
